Heading,Query,ID
"Change Tester in CRFT","update aml_internal.tbl_crft_testing_ta_dtls t
   set t.tester_assign_to = 380421
 where t.crf_id = 2068;--1row",1779171391325
"Update File in CRFT","UPDATE aml_internal.tbl_crft_files t
SET 
    t.doc_name = 'IGL Calculation and features Monthly.xlsx',
    t.doc = (
        SELECT sub.doc
        FROM aml_internal.tbl_crft_files sub
        WHERE sub.crf_id = 2341
    )
WHERE t.crf_id = 2330;",1779161819641
"Change Requester in STM","update aml_internal.tbl_stm_role_dtl t
   set t.empcode = 331681
 where t.dep_id = 51
   and t.empcode = 362414;--1row",1779095359301
"CRFT Menu For CRFT TTL","Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 338019, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (6,10)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 338019)); --- For Add menu to Testing Tech Leads",1779088711365
"CRFT Menu For CRFT DTL","Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 338019, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (5, 9, 18)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 338019)); --- For Add menu to Developer Tech Leads",1779088689847
"Add Developer in CRFT","Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 338019, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (11, 15, 17,25)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 338019)); --- For Add menu to Developers",1779088629395
"CRFT Menu for HOD","Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 338019, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (2)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 338019)); --- For Add menu to HODs",1779088593336
"CRFT Menu for PMO","Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 338019, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (24)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 338019)); --- For Add menu to PMO",1779088567568
"CRFT Menu for ITC","Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 338019, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (23)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 338019)); --- For Add menu to ITC",1779088549199
"Add Tester in CRFT","insert into aml_internal.tbl_crft_team_dtls (TEAM_ID, EMP_CODE, CATEGORY, JOB_DESC, STATUS_ID)
values (6, 380421, '1', '2', '1');--1row

Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 380421, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (12,26)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 380421)); --- For Add menu to Testers",1779088487692
"Employee Details","select * from aml_hrm.employee_master t where t.emp_code=317674;
select * from aml_hrm.department_mst t where t.dep_id=49;
select * from aml_hrm.department_major t where t.department_id=26;",1779088428384
"CRF Details","select * from aml_internal.tbl_crft_mst t where t.crf_id=2057;
select * from aml_internal.tbl_crft_dev_ta_dtls t where t.crf_id=2057;
select t.*, t.rowid from aml_internal.TBL_CRFT_testing_TA_DTLS t where t.crf_id=2057;",1779088409841
