Heading,Query,ID
"LMS Menu Assign","select t.*, t.rowid from tbl_menu_master t where t.menu_id=135;
select t.*, t.rowid from tbl_role_dtl t where t.form_id = 135;
select t.*, t.rowid from tbl_role_master t where t.role_id = 556;
select t.*, t.rowid from tbl_role_assigned t where t.role_id = 556;",1779865925479
"Team Details In CRFT","select t.team_id,
       m.team_name,
       m.tech_lead,
       ee.emp_name As Tech_Lead,
       t.emp_code,
       e.emp_name
  from aml_internal.tbl_crft_team_dtls t,
       aml_hrm.employee_master         e,
       aml_internal.tbl_crft_team_mst  m,
       aml_hrm.employee_master         ee
 where t.emp_code = e.emp_code
   and m.team_id = t.team_id
   and ee.emp_code = m.tech_lead;",1779865307202
"Issues Find out","SELECT t.temp_cust_id,
           t.application_id,
           SUM(t.amount) AS total_amount,
           TRUNC(t.tra_dt) AS max_tra_dt,
           l.loan_id AS load_id,
           l.customer_id,
           l.customer_name
      FROM aml_customer.tbl_income_expense_details t
      JOIN aml_customer.tbl_tmp_customer x
        ON t.temp_cust_id = x.temp_cust_id
      JOIN aml_lms.tbl_loan_master l
        ON x.cust_id = l.customer_id
       and t.application_id = l.application_id
     WHERE t.co_applicant_id > 0 and
           l.loan_status=1
     GROUP BY t.temp_cust_id,
              t.application_id,
              l.loan_id,
              TRUNC(t.tra_dt),
              l.customer_id,
              l.customer_name
    HAVING SUM(t.amount) > 25000; 





select * from aml_lms.tbl_conversion_customers t where t.loan_id='1228UNSL001491';




select t.*, t.rowid from AML_CUSTOMER.TBL_INCOME_EXPENSE_DETAILS t where t.temp_cust_id=2299532",1779441615331
"Income More that 25000","SELECT t.temp_cust_id,
           t.application_id,
           SUM(t.amount) AS total_amount,
           TRUNC(t.tra_dt) AS max_tra_dt,
           l.loan_id AS load_id,
           l.customer_id,
           l.customer_name
      FROM aml_customer.tbl_income_expense_details t
      JOIN aml_customer.tbl_tmp_customer x
        ON t.temp_cust_id = x.temp_cust_id
      JOIN aml_lms.tbl_loan_master l
        ON x.cust_id = l.customer_id
       and t.application_id = l.application_id
     WHERE t.co_applicant_id > 0
     GROUP BY t.temp_cust_id,
              t.application_id,
              l.loan_id,
              TRUNC(t.tra_dt),
              l.customer_id,
              l.customer_name
    HAVING SUM(t.amount) > 25000",1779429402459
"Change Tester in CRFT","update aml_internal.tbl_crft_testing_ta_dtls t
   set t.tester_assign_to = 380421
 where t.crf_id = 2068;--1row",1779171391325
"Update File in CRFT","UPDATE aml_internal.tbl_crft_files t
SET 
    t.doc_name = 'IGL Calculation and features Monthly.xlsx',
    t.doc = (
        SELECT sub.doc
        FROM aml_internal.tbl_crft_files sub
        WHERE sub.crf_id = 2341
    )
WHERE t.crf_id = 2330;",1779161819641
"Change Requester in STM","update aml_internal.tbl_stm_role_dtl t
   set t.empcode = 331681
 where t.dep_id = 51
   and t.empcode = 362414;--1row",1779095359301
"CRFT Menu For CRFT TTL","Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 338019, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (6,10)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 338019)); --- For Add menu to Testing Tech Leads",1779088711365
"CRFT Menu For CRFT DTL","Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 338019, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (5, 9, 18)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 338019)); --- For Add menu to Developer Tech Leads",1779088689847
"Add Developer in CRFT","Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 338019, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (11, 15, 17,25)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 338019)); --- For Add menu to Developers",1779088629395
"CRFT Menu for HOD","Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 338019, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (2)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 338019)); --- For Add menu to HODs",1779088593336
"CRFT Menu for PMO","Insert into AML_INTERNAL.TBL_CRFT_ROLE_DTL
  (ROLE_DT_ID, ROLE_ID, EMPCODE, STATUS_ID)
  (select SEQ_CRF_ROLE_DT_ID.NEXTVAL, t.menu_id, 338019, 1
     from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t
    where t.menu_id in (24)
      and t.menu_id not in (select t.role_id
                              from AML_INTERNAL.TBL_CRFT_ROLE_DTL T
                             where t.empcode = 338019)); --- For Add menu to PMO",1779088567568
